OBJECTID,Noms_des_établissements,STATUT,type_d_enseignents,quartiers,moyen_de_transport,cantines_scolaires,numero_de_telephone,Section,Cycle_d_enseignement,Route,Filière,Espace_sportif,Coord_X,Coord_Y
1,Lycée_bilingue_de_mabanda,Public,general,mabanda,bus non disponible,interieur,,Francophone et anglophone,premier cycle et second cycle,Route en terre,Scientifique et littéraire,Dans l'établissement,573842.883999999612570,448905.690999999642372
2,Collège_nguesson _Charles,Privé,technique/general,mabanda,bus non disponible,interieur,696774490,Francophone et anglophone,premier cycle et second cycle,Route en terre,Scientifique et littéraire,Dans l'établissement,573896.008999999612570,449946.530999999493361
3,Collège PAFASS,Privé,technique/general,grand hangar,bus disponible,interieur,673938226, anglophone,premier cycle et second cycle,Route en pavé,art; science et industielle,pas d'espace sportif,572856.391999999992549,450712.184000000357628
4,Collège_privé_laÏc_le_Djione,Privé,general,grand hangar,bus non disponible,interieur/ exterieur,,Francophone et anglophone,premier cycle et second cycle,Route en pavé,Scientifique; littéraire et commerciale,hors de l'établissement,572880.586000000126660,450999.666999999433756
5,Collège_bilingue_le_petit_rousseau,Privé,general,foret bar,bus disponible,interieur/ exterieur,680031945,Francophone et anglophone,premier cycle et second cycle,Route en terre,Scientifique et littéraire,Dans l'établissement,573578.758999999612570,450893.259999999776483
6,Mother_thérésa,Privé,general,ngwele,bus non disponible,interieur,,Francophone et anglophone,premier cycle et second cycle,,,Dans l'établissement,571454.962000000290573,451160.077999999746680
7,CEGET,Privé,general/technique,ancienne route,bus disponible,interieur,,anglophone,premier cycle et second cycle,Route goudronnée,art et science,Dans l'établissement,574149.082999999634922,451169.017000000923872
8,Atlanta_Bilingual_College,Privé,general/technique,ancienne route,bus disponible,interieur,,anglophone,premier cycle et second cycle,Route en terre,art et science,pas d'espace sportif,573716.844999999739230,451431.972999999299645
9,Lycée_bilingue_de_bonaberi,Public,general,ancienne route,bus disponible,inetrieur,,Francophone et anglophone,premier cycle et second cycle,Route goudronnée,Scientifique et littéraire,Dans l'établissement,574307.501000000163913,451334.487999999895692
10,Collège_du_Levant,Privé,general,ancienne route,bus non disponible,interieur,696940049,Francophone ,premier cycle et second cycle,Route en pavé,Scientifique; littéraire et commerciale,Dans l'établissement,574652.939000000245869,451813.241000000387430
11,Lycée_polyvalent_de_bonaberi,Public,technique/general,ancienne route,bus disponible,interieur,,Francophone ,premier cycle et second cycle,Route goudronnée,Scientifique; littéraire; industrielle et commerci,Dans l'établissement,574357.411000000312924,451502.952999999746680
12,,Privé,general,ancienne route,bus non  disponible,interieur,,,premier cycle et second cycle,Route en pavé,Scientifique; littéraire et commerciale,Dans l'établissement,574652.939000000245869,451813.241000000387430
13,Olive_Bilingual_College,Privé,general,bonamikana,bus disponible,interieur,676509415,anglophone,,,,,574819.984000000171363,451960.403000000864267
14,Collège_polyvalent_bilingue_TCHEUFFA_Fils,Privé,technique/general,quatre etage,bus non disponible,interieur,655000857,Francophone et anglophone,premier cycle et second cycle,Route en terre,Scientifique; littéraire; industrielle et commerci,Dans l'établissement,572810.959999999962747,451976.980000000447035
15,Collège_Lamartine_CEFOP,Privé,technique/general,quatre etage,bus disponible,exterieur,699572951,Francophone ,premier cycle et second cycle,Route en terre,Scientifique; littéraire; industrielle et commerci,Dans l'établissement,573123.745000000111759,452131.111999999731779
16,,Privé,general,grand hangar,bus non disponible,interieur/exterieur,,Francophone et anglophone,premier cycle et second cycle,Route en pavé,Scientifique; littéraire; et commerciale,hors de l'établissement,572880.586000000126660,450999.666999999433756
17,,Privé,technique/general,grand hangar,bus disponible,interieur,,anglophone,premier cycle et second cycle,Route en pavé,art; science et industielle,pas d'espace sportif,572856.391999999992549,450712.184000000357628
18,Collège_Horizon,Privé,general,bonandale,bus disponible,interieur,,Francophone et anglophone,premier cycle et second cycle,Route en terre,Scientifique et littéraire,Dans l'établissement,570566.940999999642372,453971.796000000089407
19,Collège_la_roseraie,Privé,general,fokou,bus disponible,interieur,698507977,Francophone ,premier cycle ,Route en terre,Scientifique et littéraire,Dans l'établissement,574124.405000000260770,452947.195000000298023
20,Lycée_bilingue_de_Sodiko,Public,general,sodiko,bus non disponible,interieur,,Francophone et anglophone,premier cycle et second cycle,Route en terre,Scientifique et littéraire,Dans l'établissement,574199.240000000223517,454941.292999999597669
21,Lycée_bilingue_de_Bojongo,Public,general,bojongo,bus non disponible,interieur,,Francophone et anglophone,premier cycle et second cycle,Route en terre,Scientifique et littéraire,Dans l'établissement,569360.962000000290573,452745.781999999657273
